Completed Installations,Council District,Address,City and Zip,Hydration Station Operational Status,No. of Hydration Stations,No. of Water Fountains,No. of Restrooms,No. of Sinks,No. of Toilets,No. of Urinals,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Alma Reaves Woods - Watts Branch Library,15,10205 Compton Avenue Los,"Los Angeles, CA 90002",Operational No issues.,1,0,2,3,3,1,33.94385,-118.24643,1,rooftop,10205,S Compton Ave,,,Los Angeles,CA,Los Angeles County,90002,US,City of Los Angeles (CC0 1.0)
Angeles Mesa Branch Library,8,2700 W. 52nd Street Los,"Los Angeles, CA 90043",Operational No issues.,1,1,2,2,2,1,33.99486,-118.32274,1,rooftop,2700,W 52nd St,,,Los Angeles,CA,Los Angeles County,90043,US,City of Los Angeles (CC0 1.0)
Arroyo Seco Regional Branch Library,1,6145 N. Figueroa Street,"Angeles, CA 90042",Operational No issues.,2,2,2,3,5,1,34.11387,-118.18632,1,rooftop,6145,N Figueroa St,,,Los Angeles,CA,Los Angeles County,90042,US,City of Los Angeles (CC0 1.0)
Ascot Branch Library,9,120 W. Florence Avenue Los,"Los Angeles, CA 90003",Operational No issues.,1,1,2,4,3,1,33.97452,-118.27479,1,rooftop,120,W Florence Ave,,,Los Angeles,CA,Los Angeles County,90003,US,City of Los Angeles (CC0 1.0)
Atwater Village Branch Library,13,3379 Glendale Boulevard,"Angeles, CA 90039",Operational No issues.,1,0,2,2,2,1,34.11999,-118.25905,1,rooftop,3379,N Glendale Blvd,,,Los Angeles,CA,Los Angeles County,90039,US,City of Los Angeles (CC0 1.0)
Baldwin Hills Branch Library,10,2906 S. La Brea Avenue,"Angeles, CA 90016",Operational issues.,1,1,2,4,3,1,34.02849,-118.35253,1,rooftop,2906,S La Brea Ave,,,Los Angeles,CA,Los Angeles County,90016,US,City of Los Angeles (CC0 1.0)
Benjamin Franklin Branch Library,14,2906 S. La Brea Avenue Los,"Los Angeles, CA 90016",Branch is currently closed.,1,0,2,2,2,1,34.02849,-118.35253,1,rooftop,2906,S La Brea Ave,,,Los Angeles,CA,Los Angeles County,90016,US,City of Los Angeles (CC0 1.0)
Cahuenga Branch Library,13,4591 Santa Monica Blvd.,"Los Angeles, CA 90029",Operational No issues.,1,0,4,4,4,0,34.09101,-118.28903,1,rooftop,4591,W Santa Monica Blvd,,,Los Angeles,CA,Los Angeles County,90029,US,City of Los Angeles (CC0 1.0)
Canoga Park Branch Library,3,20939 Sherman Way,"Canoga Park, CA 91303",Operational No issues.,1,1,2,2,3,1,34.201085,-118.590635,1,range_interpolation,20939,Sherman Way,,,Canoga Park,CA,Los Angeles County,91303,US,TIGER/Line® dataset from the US Census Bureau
Central Library,14,630 W. 5th Street Los,"Los Angeles, CA 90071",N/A,20*,24,22,78,71,15,34.05063,-118.25491,1,rooftop,630,W 5th St,,,Los Angeles,CA,Los Angeles County,90071,US,City of Los Angeles (CC0 1.0)
